TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup
0,355,0,-0.7695704026774156,1,3,3,4479,1970-01-01 00:00:00.000000073,1,1.0877527644959062,1,3,26-40
1,59,2,-1.626186143306442,9,1,5,1051,1970-01-01 00:00:00.000000021,0,-0.09022745820344386,1,3,18-25
2,879,2,0.15293885646153607,9,4,1,111,1970-01-01 00:00:00.000000107,3,-2.5577052583085784,1,3,41-60
3,779,2,-1.560292624796517,4,5,5,2946,1970-01-01 00:00:00.000000219,1,1.2220338193516886,1,3,18-25
4,702,0,-0.24242225459801464,2,6,1,3123,1970-01-01 00:00:00.000000264,3,-0.6125995016024657,1,3,41-60
5,451,1,1.207235152620338,3,4,2,2758,1970-01-01 00:00:00.000000141,0,-0.0372497476505337,1,3,60+
6,325,2,-0.9672509582071909,9,2,5,781,1970-01-01 00:00:00.000000293,0,-0.39831977617246994,1,3,26-40
7,1791,0,-0.6377833656575653,4,1,5,4599,1970-01-01 00:00:00.000000314,1,1.9286304498426872,1,3,26-40
8,276,0,-0.24242225459801464,5,1,5,2263,1970-01-01 00:00:00.000000159,1,0.8463394237792823,1,3,41-60
9,1367,1,1.6684897821898137,7,5,1,1194,1970-01-01 00:00:00.000000050,2,-1.3857411485976645,1,3,60+
10,84,1,0.15293885646153607,2,1,5,3445,1970-01-01 00:00:00.000000176,0,1.4595043437425823,1,3,41-60
11,77,0,0.3506194119913114,2,6,5,2515,1970-01-01 00:00:00.000000144,1,0.9931408121488502,1,3,41-60
12,298,1,-0.1106352175781644,5,5,2,2759,1970-01-01 00:00:00.000000084,3,-0.036850607081033195,1,3,41-60
13,686,2,0.8777675600707123,2,4,4,569,1970-01-01 00:00:00.000000060,1,-0.89222259302178,1,3,41-60
14,726,0,-1.2967185507568164,9,6,5,185,1970-01-01 00:00:00.000000146,1,-1.555896336605017,1,3,26-40
15,1659,2,1.0754481156004876,4,0,1,3012,1970-01-01 00:00:00.000000139,3,-0.6459584527541865,1,3,60+
16,66,0,-1.6920796618163672,3,4,1,1896,1970-01-01 00:00:00.000000248,3,-1.0418889484977396,1,3,18-25
17,629,2,-0.7695704026774156,1,3,5,2391,1970-01-01 00:00:00.000000223,3,0.9222549454429377,1,3,26-40
18,1790,1,-0.24242225459801464,1,2,2,1547,1970-01-01 00:00:00.000000114,3,-0.6212340663898868,1,3,41-60
19,1360,1,0.28472589348138627,2,1,1,2197,1970-01-01 00:00:00.000000086,0,-0.921815554776502,1,3,41-60
20,693,2,0.745980523050862,3,2,3,228,1970-01-01 00:00:00.000000146,1,-1.7408115107697408,1,3,41-60
21,1466,0,0.08704533795161094,0,3,2,4502,1970-01-01 00:00:00.000000131,2,0.5442916696511518,1,3,41-60
22,888,0,-1.033144476717116,7,5,2,4878,1970-01-01 00:00:00.000000309,3,0.6479721663008231,1,3,26-40
23,16,2,0.21883237497146119,0,5,5,971,1970-01-01 00:00:00.000000054,3,-0.17510209254794798,1,3,41-60
24,525,2,0.680087004540937,2,0,4,3229,1970-01-01 00:00:00.000000118,2,1.0310935233407994,1,3,41-60
25,1369,1,0.5482999675210868,7,1,1,2208,1970-01-01 00:00:00.000000340,0,-0.9176510217306968,1,3,41-60
26,1111,1,-0.30831577310793973,0,0,5,4612,1970-01-01 00:00:00.000000141,2,1.9334190960402655,1,3,41-60
27,886,2,-0.30831577310793973,4,4,5,1788,1970-01-01 00:00:00.000000072,2,0.535192692934403,1,3,41-60
